記憶體	内存
最佳化提示	最佳化提示
選擇性；選項	选项
選擇性引數	选项参数
選擇性行為	选项行为
選擇性特徵	选项特征
次序；排序；命令；階	次序;排序
有序	有序
序數	序数
循序索引值	序数索引值
序數號碼	序数号码
定向；指向	指向
原創者	原创者
原始伺服器	原始服务器
原始終點	原始终点
原始路徑	原始路径
原始設定	原始设定
原始位置	原始位置
原始起點	原始起点
示波器	示波器
發信匣	发件箱
記憶體不足	内存不足
輸出；流出	输出
外斜角	外斜角
外部聯合	外部连接
外部型式	外部类型
外部寬度	外部宽度
外部高亮度	外部高亮度
外部陰影	外部阴影
在外樣式	外部样式
輸出；外送信件	输出
輸出介面	输出界面
大綱；外框；輪廓	大纲
僅輸出	仅输出
輸出	输出
輸出階層	输出阶层
輸出模態	输出模态
輸出參數	输出参数
輸出精準度	输出单精度
輸出串流	输出流
輸出視窗	输出窗口
外部程序	外部程序
外部區域	外部区域
超量燒錄	超量刻录
超量燒錄光碟	超量刻录光盘
超量寫錄	超量写录
溢位	溢出
突出部分	
額外負擔	
重疊音訊	重叠音频
重疊視窗	重叠窗口
覆蓋	覆盖[程序段]；覆盖表格
覆蓋影像	覆盖图片
覆蓋模式	覆盖模式
覆蓋字幕	覆盖字幕
超載；過載	超载；过载
超載解析	过载解析
重載函數	重载函数
重載運算子	重载运算符
重載集合	重载集合
超載；過載	超载；过载
置換；改寫	重写
超量燒錄	超量刻录
覆寫；重打	复写
概觀	概况
覆寫	复写
所屬視窗	所属窗口
擁有者；主控者	拥有者
主控視窗	主控窗口
主控描繪控制	
主控描繪按鈕	
所有權；擁有權	所有权
包裝；壓縮	包装
套裝；套件；封裝	包；打包
封裝暨部署精靈	打包与部署精灵/向导
封裝函數	封装函数
封裝精靈	打包向导
封裝 IP 位址	封装IP地址
封包	打包
封包整合	打包整合
網際網路封包探索	PING
封包交換	打包交换
封包寫入	打包写入
填補；填塞	填充
填補區塊	填充区域
填補粒度	填充粒度
關閉填補	关闭填充
開啟填補	开启填充
分頁	分页
網頁設計者	页设计者
分頁錯誤差異	页错误差异
分頁檔案位元組	页文件位组
置入頁面	置入页面
頁面布局	页面布局
移出頁面	移出页面
頁面設定	页面设置
頁面轉換	页面转换
頁面閱覽	页面视图
分頁暫存區	
分頁器；呼叫器	
油漆桶工具	油漆桶工具
調色板；色盤	调色板
色盤對映	调色板映射
色盤設定	调色板设定
香港版	
窗格	窗格
面板布局	面板布局
面板組合	面板设置
全景攝影	
夾紙	
段落格式	段落格式
段落分隔符	段落分隔符
平行；並列	平行
參數陣列	参数数组
參數	参数
參數區塊	参数块
參數資料成員	参数数据成员
參數實體	参数实体
參數傳遞	参数传递
參數前置	参数前缀
參數設定	参数设定
參數後置	参数后缀
參數實體參照	参数实体参考
參數型命令	参数型命令
//親；父；上層	父
上層類別	父类
上層目錄	上级目录
上層文件型式	上级文件类型
上層表單	上级表单
上層項目	上级项目
上層選單	上级选单
上層物件	上级对象
上層頁面	上级页面
上層程序	上级程序
上層表	上级表
上層視窗	父窗口
親子關係	父子关系
同位旗標	奇偶标志
剖析對映	解析影射
已剖析字元資料	已解析字符数据
已剖析實體	以解析实体
剖析器	解析器
先行剖析錯誤	先行解析错误
剖析	解析
零件；部分	部分
部分相等	部分相等
局部特殊化	局部特殊化
部分理解	局部理解
參與	参与
粒子大小	粒子大小
粒子	粒子
分區；分割	分区
按址傳遞	地址传递
按參考傳遞	参考传递
按值傳遞	值传递
通關密語	
被動	被动
被動模式	被动模式
傳遞查詢	传递查询
密碼驗證協定	密码验证协议
密碼表列	密码列表
貼上成為	粘贴为
修補；修補程式	补丁
路徑	路径
路徑括弧	路径括弧
筆刷感應工具	
路徑深度	路径深度
路徑名稱	路径名
型樣；圖樣	样式
型樣匹配	样式匹配
型樣字串	样式字符串
暫停	暂停
負載安全性	负载安全性
虛擬碼	虚拟码
峰	峰
峰值分頁檔案位元組	峰值分页文件位
峰值虛擬位元組	峰值虚拟位
峰值工作集	峰值工作集
對等儀表板	对等仪表板
點對點網路	对等网络
筆	笔
鉛筆	铅笔
擱置	搁置
擱置項目	搁置项目
半影	半影
可感知單元	可感知单元
百分比位置	百分比位置
履行；執行；實施	执行
效能	性能
效能監視器	性能监视器
期間；週期	期间
週邊	周边
週邊組件連接	周边组建互连
週邊裝置	周边设备
永久；常駐	永久
永久儲存器	固存
許可；權限	许可
許可防護	许可防护
寬鬆型式語意	
許可	许可
保存	保存
持續	持续
永續儲存器	固存
個人	个人
個人認證	个人认证
個人資料處理器	个人数据处理器
個人數位助理	个人数码助手(PDA)
個人檔案	个人文件
個性	个性
透視扭曲	
封閉式	封闭式
封閉式鎖定	封闭式锁定
階段；相位	阶段
拼音建議	拼音建议
假性目標	假性目标
相片	相片
實體位址	物理地址
實體筆刷	物理笔刷
實體裝置	物理设备
實體字型	物理字型
實體記憶體	物理内存
圖片	图片
圖片方塊	图片框
圖片渲染	图片渲染
管；導管	管
管線	管线
間距；定音	间距
樞紐檢視	
像素	像素
像素重覆	
佔位符；預留位置	预留位
預留位置形狀	预留位置形状
純文字；本文；明文	纯文本
平台	平台
網路內容篩選平台	互联网络内容选择平台
播放	播放
播放	回放
倒放	倒放
隨插即用	即插即用
外掛	插件
口袋書	口袋书
點	点
注視點；視點	关注点
指標	指针
指標部分	指针部分
指標速度	指针速度
資料指標	数据指针
資料成員指標	数据成言指针
成員指標	成员指针
成員函數指標	成员函数指针
指標軌跡	指针轨迹
指標型式	指针类型
點對點協定	点对点协议
政策	政策
政策防護	政策防护
多邊形模式	多边形模式
多邊形工具	多边形工具
多邊形填滿模式	多边形填充模式
多型	多型
暫存區數目	
彈出式選單；快顯選單	弹出式选单
彈出式視窗；快顯視窗	弹出式窗口
埠	端口
埠名稱	端口名
埠號碼	端口号
可攜式	便携式
可攜式網路圖形	PNG
可攜式作業系統介面X	便携式操作系统见面X
部份	部分
直式；肖像式	
位置	位置
張貼	张贴；投递
後文；跋	后文
後建置	
後置記法	
後置間隙	
事後剖析偵錯	
延後	
潛力	潜力
功率校正	功率校正
節約能源	节约能源
節能模式	节能模式
電源方案	电源方案
電源供應	电源供应
進階使用者	
實務	实践
先行版	先行版
前文；序	序
前置放大	
前置緩衝器	前置缓冲器
前建置	
前置元件	
精確游標	精确游标
精確度	精确度
先行編譯	先行编译
先行編譯標頭指示	
預先組成字元	
預先定義	预定义
述詞	断言
預測	预测
預先加強	
偏好裝置	
偏好	
前置；前綴	前缀
前置記法	前缀符号
前置間隙	
預先連結	预连接
預載	预载
前置主控	
前置處理	预处理
前置處理器	预处理器
先決條件	
保留	保留
預設	预设
按；壓；出版社	按
良好隱私系統	
預覽	预览
首要	
首要節點型式	
列印跨頁	打印跨页
列印管理者	打印管理器
列印縮放	打印缩放
列印多工緩衝器介面	
列印區	打印区
列印成品	打印
優先權；優先等級	优先权
隱私；私密	隐私
私密憑證	
私密政策	
私密金鑰	私钥
專用封包	
私用變數	私有变量
特權	特权
有特權的作者內容	
可享特權的時間	
程序	过程
程序識別	过程ID
繼續；開展	继续
過程；處理；處理程序	处理
處理指令	处理指令
產品；乘積	产品
產品金鑰	产品Key
生產	生产
產能組件	产能组件
產能工具	产能工具
剖繪；設定檔	
剖繪器	
剖繪	
可程式化	可编程的
程式設計識別	程序ID
程式設計師	程序员
程式設計	编程
進度列	进度条
漸進式	渐进式
漸進式選項	渐进式选项
專案日誌	项目日志
投影機	放映机
提示；提示輸入	提示
提示字串	提示字符串
證明	证明
所有權證明	所有权证明
性質定義	属性定义
已編輯提案推薦標準	
提案推薦標準	
命題	
保護	保护
協定	协议
原型	原形
分度器	
證明	证明
提供者	提供者
供應商代理	代理商
供應實體	供应实体
近似位置	近似位置
代理；代理伺服器	代理
代理伺服器	代理服务器
虛擬碼	虚拟码
虛擬行	虚拟列
虛擬編組處理	
虛擬隨機	
虛擬目標	虚拟目标
公用；公開	公开
公用資料夾	公用文件夹
公開識別符	公开识别符
公開金鑰	公钥
公開金鑰密碼學	公钥密码学
公開金鑰基礎建設	
公用物件	公用物体
線上公共論壇	公共在线论坛
公用程序	公用程序
公用使用者	公共用户
出版品；發行物	出版物
發表；發布	发布
發表人；發布者；出版商	发布者
脈衝；脈波；撥盤式電話	脉冲
打孔	打孔
標點符號	标点符号
目的；意圖	目的
限定；合格	合格
合格名稱	合格名称
限定符	限定符
限定；合格	合格
品質	质量
品質保證測試套件	质量保证测试套件
品質保證	质量保证测试套件
服務品質	服务质量
佇列	排队
查詢	查询
佇列傳真	排队传真
佇列名稱	排队名称
快速開啟	快速启动
快速錄製	快速记录
快速檢視	快速审查
快速執行	快速执行
快速抹除	快速擦除
配額	配额
引用；引言	引言
引號	引号
引號識別符	引号识别符
引號內可列印	
加上引號	加上引号
引號層級	引号级别
放射狀布局	放射状布局
無線；無線電	无线
單選按鈕	单选按钮
單選按鈕	单选按钮
半徑	半径
基數	基数
凸起浮雕	突起浮雕
隨機	随机
隨機存取記憶體	随机存取内存
隨機水平線條	随机水平条
隨機垂直線條	随机垂直条
隨機溶解	随机溶解
亂數	随机数
隨機化	随机化
隨機表列	随机列表
亂數產生器	随机数产生器
範圍值	范围值
階級；等級	排位；等级
快速應用程式開發 	快速应用开发
光柵	光栅
光柵顯示器	光栅显示器
點陣字型	光栅字型
光柵運算	光栅运算
柵格化	光栅格
點陣化文字	
比率；速率	比率
分級	分级
分級；額定值	分级
原始的；未處理的	原始的
原始資料	原始数据
原始介面指標	
讀取；讀	读
預先讀取緩衝區	预读取缓冲区
讀者；讀取器	读者
讀我檔案	说明
就緒；備妥	就绪
真實模式	真实模式
即時視訊	即时视频
接收	接收
接收者；接收器	接受者
辨識；識別	认可
推薦；建議；推薦標準	推荐
重新連線	重新连接
調解	调解
記錄；錄製	记录
記錄按鈕	记录按钮
記錄分隔符號	记录分隔符
記錄欄位交換	记录字段交换
記錄檢視	记录审查
錄製旁白	录制旁白
記錄器	录音机
恢復	恢复
矩形工具	矩形工具
矩形陣列	矩形数组
矩形座標	矩形坐标
遞迴	递归
重新撥號	
重新導向	重定向
重新導向方案	重定向方案
重新導向腳本	重定向脚本
重繪	重绘
縮減；縮小	减少
精簡指令集電腦	精简指令集电脑
參考；參照	参考
參考完整性	参考完整性
反射	反射
重整速率	刷新速率
區域	区域
暫存器；註冊	寄存器
暫存器儲存類別	寄存器存储类别
暫存器變數	寄存器变量
暫存器視窗	寄存器窗口
註冊資料庫	注册资料库
註冊腳本	注册脚本
註冊應用程式	注册应用程序
註冊；登記	注册
註冊資料庫	注册数据库
規則事件	规则事件
正規表示式	正则表达式
正規表示式物件	正则表达式对象
具體化	
相關章節	相关章节
關係	关系
關聯式資料庫	关系数据库
關聯式運算子	关系运算符
相對連結	相对连接
相對路徑	相对路径
相對磁區	相对区域
相對時間	相对时间
釋放；發行	释放
發行版	发行版
可靠度；可靠性	可靠性
剩餘	剩余
剩餘時間	剩余时间
備註	备注
遠端存取服務	远程存取服务
遠端電腦	远程电脑
遠端連線	远程连接
遠端資料控制	远程数据控制
遠端資料物件	远程数据对象
遠端資料服務	远程数据服务
遠端偵錯監視器	远程调试监视器
遠端偵錯	远程调试
遠端磁碟	远程磁盘
遠端機器	远程机器
遠端管理	远程管理
遠端程序呼叫	远程程序呼叫
遠端資源	远程资源
遠端感測	远程侦测
遠端伺服器	远程服务器
重新命名檔案	重命名文件
重新排序	重新排序
修復	修复
重複	重复
重複次數	重复次数
全部取代	全部替换
重新執行；重新播放	重新播放
複製	复制
複製管理器	复制管理器
回覆	回复
回覆位址	回复地址
報告	报告
報表集合	报表集合
儲存庫	仓库
儲存庫引擎	仓库引擎
表示	表示
請求	请求
請求評論	请求评论
重新取樣	重新取样
廢止推薦標準	废除推荐
保留	保留
保留區	保留区域
保留大小	保留大小
重置；重設	重置
解析度；決議	决议
決議運算子	决议运算符
資源	资源
資源瀏覽器視窗	资源浏览器窗口
資源描述框架	资源描述框架
資源編輯器	资源编辑器
資源檔案	资源文件
資源識別符	资源标识符
資源項目	资源项目
資源型式	资源类型
資源檢視	资源察看
資源定義檔案	资源定义文件
回應	回应
重新啟動	重新启动
限制；約束	限制
結果集	结果集
結果確認	结果确认
重試	重试
回傳位址	返回地址
回傳碼	返回码
回傳回條	返回收到
回傳型式	返回类型
回傳值	返回值
反向文件次序	反向文件顺序
反向遞增搜尋	反向递增搜索
反向掃瞄	反向扫描
慢速反向播放	反向慢速
還原成	还原成
修正；修訂	修订
修訂控制系統	修订控制系统
撤銷	撤销
迴帶；倒轉	倒转
靠右對齊	右对齐
右邊界	右边界
滑鼠右鍵	鼠标右键
風險管理	风险管理
機械的	机械的
捲動	卷动
根	根
旋轉	旋转
路由	路由
路由設定	路由设定
例行工作；常式	例行工作
路由；選路	路由
列	行
列指標	行指针
列層級安全性	
列集合	
橡皮圖章工具	橡皮图章工具
橡皮筋	橡皮筋
規則	规则
尺規	尺
運行時間	运行时间
運行時	运行时
運行時間	运行时
運行時間型式資訊	运行时间类型信息
僅限運行時間	仅限运行时
右值	右值
安全的	安全
安全區域	安全区域
樣本；範例；取樣	样本
取樣深度	取样深度
樣本深度縮放	取样深度缩放
樣本大小	取样大小
取樣	取样
取樣頻率	取样频率
健全測試	健全测试
滿足	符合
飽和	饱和
儲存檔案	保存文件
檔案另存為	文件另存为
儲存專案	保存项目
專案另存為	项目另存为
儲存方案	保存方案
方案另存為	方案保存为
選取區另存為	选取区域另存为
可縮放性	可缩放
可縮放向量圖	可缩放矢量图
純量字型	
純量型式	
標度；刻度；縮放	刻度
縮放屬性	缩放属性
掃瞄	扫描
掃描碼	扫描码
掃描線	扫描线
掃瞄器	扫描仪
情景；情節	情景
場景	场景
場景偵測	场景侦测
場景索引選單	场景索引选单
場景選取器	场景选取器
排程	日程
概要；綱目；結構描述	结构描述
結構描述設計工具	结构描述设计
結構描述編號	结构描述编号
結構描述列集	
結構描述語彙	
方案	方案
科學園區	科学园区
範圍	范围
宣告範圍	声明范围
範圍運算子	范围运算符
範圍窗格	范围窗格
範圍解析	范围解析
範圍方案	范围方案
暫存磁碟	暂存磁盘
螢幕座標	屏幕坐标
螢幕放大鏡	屏幕放大镜
螢幕閱讀器	屏幕阅读器
會議記錄員	记录员
腳本物件模型	脚本对象模型
腳本作者	脚本作者
捲動	滚动
捲動方塊	滚动快
捲軸	滚动条
密封	密封
無接縫聯結	无线连接
Seamless Link燒錄技術	Seamless Link刻录技術
搜尋條件	搜索条件
搜尋準則	搜索准则
搜尋次序	搜索次序
搜尋結果	搜索结果
搜尋目標	搜索目标
正割	切割
秒；次等；第二	秒；第二
次級	次级
次要相依資訊	次要依赖信息
次要介面	次要界面
次要語言	次要语言
區段；節；段	节
磁區	区域
保全；安全	安全
安全警告	安全警告
安全設定	安全设定
安全性；保全	安全性
安全監督	安全监督
安全架構	安全架构
安全屬性	安全属性
安全審核	安全审核
安全描述符	安全描述符
安全領域	安全领域
安全識別符	安全标识符
安全機制	安全机制
安全模型	安全模型
安全物件模型	安全对象模型
安全權限模型	安全权限模型
安全政策	安全政策
安全政策表達	安全政策表达
安全服務	安全服务
安全支援提供者介面	安全支持提供者接口
安全精靈	安全精灵
安全地區	安全地区
亦參照	亦参见
種子	种子
節段；區段	
區段方案	
反相選取	反向选择
選取行	选取行
可選取的	可选取的
自我解壓縮	自解压的
自我聯結	在连接
自我參考	自我参考
語意需求；測試斷言	语义需求
語意網	语义WEB
語意透明	语义透明
語意	语义
旗號	旗号
非完全信任	非完全信任
發送	发送
重新發送	重新发送
傳送到	发送到
移到最下層	移到下层
送至瀏覽器	发送至浏览器
可發送	可发送
發送者	发送者
敏感度	敏感性
感測器	传感器
分隔符；分隔器	分隔符
分隔線	分隔线
分隔符字元	分隔字符
分隔字元	分隔字符
音序器	音序器
序列	序列
循序	有序的
循序容器	有序容器
循序導航	有序导航
循序評估運算子	有序评估运算符
序列；串列	序列
序列存取	序列存取
序列介面	序列界面
串列線路網際網路協定	
序號	序号
序列埠	串口
序列傳輸層	串行传输层
序列化	序列化
系列	系列
系列形態	系列形态
對線	
伺服器應用程式	服务器应用程序
伺服器文件	服务器文档
伺服器總管	服务器管理器
伺服器擴充功能	服务器扩充
伺服器端元件	服务器段组件
服務	服务
服務組件	服务组件
服務描述	服务描述
服務介面	服务接口
服務中介	服务中介
服務提供者	服务提供者
服務請求者	服务请求者
服務角色	服务角色
服務語意	服务语义
服務提供者	服务提供者
服務導向架構	服务导向架构
區段；會談	会话
區段一次寫錄 (SAO)	
區段識別碼	会话ID
區段名稱	会话名称
區段物件	会话对象
設定；集；集合	置位；设置
設定為	设定为
設成預設值	设为默认值
設定自動載入	设定自动载入
設定列標記	设定列标记
設定光碟跳躍	设定光盘跳
設定字型	设定字体
集合函數	集合函数
設定連結	设定连接
設定選單按鈕連結	设定选单按钮连接
設定選單連結	设定选单连接
設定印表機字型	设定打印机字体
設定返回到選單	设定返回到选单
設定縮圖	设定缩图
設定控制台	设定控制台
電源方案設定	设定电源方案
設定值	设定值
設定完成	安装/设制完成
陰影	阴影
陰影模糊	阴影模糊
表層複製	阴影复制
形狀	形状
形狀分類	形状分类
形狀提示	形状提示
